year,player,pos,college,defense_ast_tackles,defense_fum_forced,defense_fum_rec,defense_fum_tds,defense_fum_yds,defense_games,defense_int,defense_int_td,defense_int_yards,defense_loss_tackles,defense_pd,defense_sacks,defense_seasons,defense_solo_tackes,defense_tackles,passing_attempts,passing_comp_pct,passing_completions,passing_games,passing_pass_ints,passing_pass_tds,passing_pass_yards,passing_seasons,rushing_games,rushing_rec_td,rushing_rec_yards,rushing_receptions,rushing_rush_att,rushing_rush_td,rushing_rush_yds,rushing_scrim_plays,rushing_scrim_tds,rushing_scrim_yds,rushing_seasons,receiving_games,receiving_rec_td,receiving_rec_yards,receiving_receptions,receiving_rush_att,receiving_rush_td,receiving_rush_yds,receiving_scrim_plays,receiving_scrim_tds,receiving_scrim_yds,receiving_seasons,num_missing_vals
2022.0,A'Jon Vivens,,Colorado State,0.0,,0.0,,,10.0,,,,0.0,0.0,0.0,1.0,1.0,1.0,,,,10.0,,,,1.0,10.0,0.0,73.0,10.0,90.0,0.0,324.0,,0.0,397.0,1.0,10.0,0.0,73.0,10.0,,0.0,324.0,,0.0,397.0,1.0,0.0
2022.0,A.J. Abbott,,Wisconsin,,,,,,10.0,,,,,,,1.0,,,,,,10.0,,,,1.0,10.0,0.0,7.0,1.0,,,,,,,1.0,10.0,0.0,7.0,1.0,,,,,,,1.0,0.0
2022.0,A.J. Barner,,Indiana,1.0,,,,,10.0,,,,0.0,0.0,0.0,1.0,3.0,4.0,,,,10.0,,,,1.0,10.0,1.0,162.0,14.0,,,,,,,1.0,10.0,1.0,162.0,14.0,,,,,,,1.0,0.0
2022.0,A.J. Brathwaite Jr.,,Western Kentucky,25.0,,0.0,,,10.0,1.0,0.0,5.0,3.0,2.0,1.0,1.0,39.0,64.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,A.J. Davis,,Pittsburgh,,,,,,10.0,,,,,,,1.0,,,,,,10.0,,,,1.0,10.0,0.0,23.0,4.0,2.0,1.0,21.0,,1.0,44.0,1.0,10.0,0.0,23.0,4.0,,1.0,21.0,,1.0,44.0,1.0,0.0
2022.0,A.J. DeShazor,,South Alabama,34.0,,1.0,,,10.0,,,,2.5,1.0,1.0,1.0,30.0,64.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,A.J. Finley,,Ole Miss,54.0,,,,,10.0,3.0,1.0,71.0,1.0,4.0,0.0,1.0,36.0,90.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,A.J. Gates,,UAB,,,,,,10.0,,,,,,,1.0,,,,,,10.0,,,,1.0,10.0,,,,7.0,0.0,24.0,,,,1.0,10.0,,,,,0.0,24.0,,,,1.0,0.0
2022.0,A.J. Hampton,,Northwestern,5.0,,2.0,,,10.0,,,,0.0,9.0,0.0,1.0,33.0,38.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,A.J. Henning,,Michigan,0.0,,0.0,,,10.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,,,,10.0,,,,1.0,10.0,0.0,79.0,10.0,9.0,2.0,162.0,,2.0,241.0,1.0,10.0,0.0,79.0,10.0,,2.0,162.0,,2.0,241.0,1.0,0.0
2022.0,A.J. Howard,,Army,,,,,,10.0,,,,,,,1.0,,,,,,10.0,,,,1.0,10.0,0.0,40.0,2.0,20.0,2.0,106.0,,2.0,146.0,1.0,10.0,0.0,40.0,2.0,,2.0,106.0,,2.0,146.0,1.0,0.0
2022.0,A.J. Lytton,,Penn State,0.0,,,,,10.0,,,,0.0,0.0,0.0,1.0,1.0,1.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,A.J. Musolino,,Kent State,44.0,,1.0,,,10.0,1.0,0.0,0.0,10.5,0.0,3.0,1.0,48.0,92.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,A.J. Odums,,New Mexico,3.0,,,,,10.0,,,,1.0,0.0,0.0,1.0,4.0,7.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,A.J. Thomas,,Western Michigan,11.0,,,,,10.0,,,,2.0,5.0,1.0,1.0,42.0,53.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,A.J. Watkins,,Georgia Southern,6.0,,,,,10.0,,,,2.5,1.0,2.0,1.0,3.0,9.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,A.J. Watts,,Akron,5.0,,,,,10.0,,,,1.0,1.0,0.0,1.0,25.0,30.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,A.J. Woods,,Pittsburgh,6.0,,,,,10.0,1.0,0.0,73.0,0.5,7.0,0.0,1.0,20.0,26.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,A.T. Perry,,Wake Forest,,,,,,10.0,,,,,,,1.0,,,,,,10.0,,,,1.0,10.0,15.0,1293.0,71.0,,,,,,,1.0,10.0,15.0,1293.0,71.0,,,,,,,1.0,0.0
2022.0,A.j. Davis,,UAB,,,,,,10.0,,,,,,,1.0,,,1.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,10.0,0.0,95.0,10.0,1.0,0.0,-3.0,,0.0,92.0,1.0,10.0,0.0,95.0,10.0,,0.0,-3.0,,0.0,92.0,1.0,0.0
2022.0,AC White,,Old Dominion,0.0,,,,,10.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,AJ Arcuri,,Michigan State,0.0,,,,,10.0,,,,0.0,0.0,0.0,1.0,1.0,1.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,AJ Brown,,Georgia Southern,,,,,,10.0,,,,,,,1.0,,,,,,10.0,,,,1.0,10.0,,,,1.0,0.0,2.0,,,,1.0,10.0,,,,,0.0,2.0,,,,1.0,0.0
2022.0,AJ Calabro,,Syracuse,3.0,,,,,10.0,,,,0.0,0.0,0.0,1.0,3.0,6.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,AJ Crider,,Toledo,10.0,,,,,10.0,,,,0.5,0.0,0.5,1.0,7.0,17.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,AJ Green,,Arkansas,1.0,,0.0,,,10.0,,,,0.0,0.0,0.0,1.0,0.0,1.0,,,,10.0,,,,1.0,10.0,1.0,84.0,7.0,47.0,1.0,227.0,,2.0,311.0,1.0,10.0,1.0,84.0,7.0,,1.0,227.0,,2.0,311.0,1.0,0.0
2022.0,AJ King,,Nevada,5.0,,,,,10.0,,,,2.0,7.0,1.0,1.0,30.0,35.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,AJ Lewis,,Troy,0.0,,,,,10.0,,,,0.0,0.0,0.0,1.0,1.0,1.0,,,,10.0,,,,1.0,10.0,0.0,60.0,10.0,,,,,,,1.0,10.0,0.0,60.0,10.0,,,,,,,1.0,0.0
2022.0,AJ Mathis,,Florida International,2.0,,,,,10.0,,,,1.0,0.0,0.0,1.0,6.0,8.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,AJ Mayer,,Miami (OH),,,0.0,,,10.0,,,,,,,1.0,,,125.0,0.544,68.0,10.0,2.0,6.0,946.0,1.0,10.0,,,,26.0,1.0,89.0,,,,1.0,10.0,,,,,1.0,89.0,,,,1.0,0.0
2022.0,AJ McCarty,,Baylor,0.0,,1.0,,,10.0,,,,0.0,1.0,0.0,1.0,3.0,3.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,AJ Phillips,,South Alabama,0.0,,1.0,,,10.0,,,,0.0,0.0,0.0,1.0,1.0,1.0,,,,10.0,,,,1.0,10.0,0.0,6.0,1.0,25.0,2.0,76.0,,2.0,82.0,1.0,10.0,0.0,6.0,1.0,,2.0,76.0,,2.0,82.0,1.0,0.0
2022.0,AJ Pierce,,Troy,2.0,,,,,10.0,,,,0.0,0.0,0.0,1.0,4.0,6.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,AJ Vongphachanh,,Utah State,37.0,,1.0,,,10.0,,,,7.0,0.0,2.0,1.0,18.0,55.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,AJ Williams,,Wake Forest,4.0,,,,,10.0,,,,0.0,1.0,0.0,1.0,2.0,6.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,Aakil Washington,,Liberty,14.0,,,,,10.0,,,,5.5,0.0,4.5,1.0,13.0,27.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,Aamaris Brown,,Kansas State,0.0,,,,,10.0,,,,0.0,0.0,0.0,1.0,6.0,6.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,Aapri Washington,,Buffalo,15.0,,1.0,,,10.0,,,,2.0,6.0,1.0,1.0,25.0,40.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,Aaron Allen,,Louisiana Tech,,,0.0,,,10.0,,,,,,,1.0,,,77.0,0.6493506493506493,50.0,10.0,4.0,2.0,620.0,1.0,10.0,,,,12.0,0.0,-6.0,,,,1.0,10.0,,,,,0.0,-6.0,,,,1.0,0.0
2022.0,Aaron Allert,,Texas State,1.0,,,,,10.0,,,,0.0,0.0,0.0,1.0,0.0,1.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,Aaron Armitage,,Stanford,2.0,,,,,10.0,,,,1.0,0.0,1.0,1.0,1.0,3.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,Aaron Beasley,,Tennessee,50.0,,2.0,,,10.0,,,,7.5,0.0,1.5,1.0,34.0,84.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,Aaron Beckham,,North Texas,,,,,,10.0,,,,,,,1.0,,,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,Aaron Beckwith,,UMass,2.0,,,,,10.0,,,,0.0,0.0,0.0,1.0,0.0,2.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,Aaron Bedgood,,Coastal Carolina,2.0,,,,,10.0,,,,0.0,0.0,0.0,1.0,7.0,9.0,,,,10.0,,,,1.0,10.0,2.0,69.0,5.0,1.0,0.0,4.0,,2.0,73.0,1.0,10.0,2.0,69.0,5.0,,0.0,4.0,,2.0,73.0,1.0,0.0
2022.0,Aaron Bolinsky,,Syracuse,2.0,,,,,10.0,,,,0.0,0.0,0.0,1.0,0.0,2.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,Aaron Brule,,Mississippi State,30.0,,,,,10.0,,,,8.0,0.0,3.0,1.0,23.0,53.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,Aaron Casey,,Indiana,12.0,,,,,10.0,,,,1.0,0.0,0.0,1.0,13.0,25.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,Aaron Cephus,,Hawai'i,,,,,,10.0,,,,,,,1.0,,,,,,10.0,,,,1.0,10.0,1.0,80.0,7.0,,,,,,,1.0,10.0,1.0,80.0,7.0,,,,,,,1.0,0.0
2022.0,Aaron Diggs,,Coastal Carolina,0.0,,,,,10.0,,,,0.0,0.0,0.0,1.0,1.0,1.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
2022.0,Aaron Dumas,,New Mexico,0.0,,0.0,,,10.0,,,,0.0,0.0,0.0,1.0,1.0,1.0,,,,10.0,,,,1.0,10.0,,,,136.0,2.0,658.0,,,,1.0,10.0,,,,,2.0,658.0,,,,1.0,0.0
2022.0,Aaron Faumui,,Virginia,10.0,,,,,10.0,,,,3.5,0.0,1.0,1.0,13.0,23.0,,,,10.0,,,,1.0,10.0,,,,,,,,,,1.0,10.0,,,,,,,,,,1.0,0.0
