year,player,pos,college,weight,height_inches,forty,vertical,bench,broad,threecone,shuttle
2022,EJ Perry,QB,Brown,211,73,4.6,34.5,4.6,123,6.85,4.18
2022,Desmond Ridder,QB,Cincinnati,211,75,4.49,36,,127,7.15,4.29
2022,Brock Purdy,QB,Iowa State,212,72,4.76,27,,,7.21,4.45
2022,Skylar Thompson,QB,Kansas State,217,74,4.86,31,,112,7,4.28
2022,Dustin Crum,QB,Kent State,210,73,4.75,,,,,4.36
2022,Malik Willis,QB,Liberty,219,72,,,,,,
2022,D'Eriq King,QB,Miami,196,69,,,,,,
2022,Matt Corral,QB,Mississippi,212,73,,,,,,
2022,Carson Strong,QB,Nevada,226,75,,,,,,
2022,Sam Howell,QB,North Carolina,218,72,,,,,,
2022,Jack Coan,QB,Notre Dame,218,75,4.9,33,,115,6.95,4.39
2022,Kenny Pickett,QB,Pittsburgh,217,75,4.67,33.5,,121,,4.29
2022,Cole Kelley,QB,SE Louisiana,249,79,,,,,,
2022,Bailey Zappe,QB,Western Kentucky,215,72,4.78,30,,109,7.19,4.4
2022,Kaleb Eleby,QB,Western Michigan,208,73,,25.5,,111,7.57,
2022,Brian Robinson,RB,Alabama,225,73,4.53,30,,119,,
2022,Rachaad White,RB,Arizona State,214,72,4.48,38,,125,,
2022,Trestan Ebner,RB,Baylor,206,71,4.43,30,,,,
2022,Abram Smith,RB,Baylor,213,71,,,,,,
2022,Tyler Allgeier,RB,BYU,224,71,4.6,33,,120,,
2022,Jerome Ford,RB,Cincinnati,210,70,4.46,31,,118,,
2022,Dameon Pierce,RB,Florida,218,69,4.59,34.5,21,119,,
2022,D'vonte Price,RB,Florida International,210,73,4.38,34,,119,,
2022,Jashaun Corbin,RB,Florida State,202,71,,,,,,
2022,Ronnie Rivers,RB,Fresno State,195,67,4.6,36.5,,119,,
2022,James Cook,RB,Georgia,199,71,4.42,33,,124,,
2022,Zamir White,RB,Georgia,214,72,4.4,33.5,,128,,
2022,Tyler Goodson,RB,Iowa,197,69,4.42,36.5,,123,,
2022,Breece Hall,RB,Iowa State,217,71,4.39,40,,126,,
2022,Ty Davis-Price,RB,LSU,211,72,4.48,30,,117,,
2022,Hassan Haskins,RB,Michigan,228,74,,,27,,,
2022,Kenneth Walker III,RB,Michigan State,211,69,4.38,34,,122,,
2022,Snoop Conner,RB,Mississippi,222,70,4.59,29.5,25,118,,
2022,Jerrion Ealy,RB,Mississippi,189,68,4.52,34.5,,128,,
2022,Tyler Badie,RB,Missouri,197,68,4.45,33.5,,121,,
2022,Ty Chandler,RB,North Carolina,204,71,4.38,31,,121,,
2022,Zonovan Knight,RB,North Carolina State,209,71,4.58,31,,114,,
2022,Kyren Williams,RB,Notre Dame,194,69,4.65,32,,116,,
2022,Kennedy Brooks,RB,Oklahoma,209,70,4.59,31,,120,,
2022,Jaylen Warren,RB,Oklahoma State,204,68,4.55,31.5,,119,,
2022,CJ Verdell,RB,Oregon,194,68,,29.5,,118,,
2022,Isiah Pacheco,RB,Rutgers,216,70,4.37,33,,118,,
2022,Greg Bell,RB,San Diego State,201,70,,31,17,120,,
2022,Kevin Harris,RB,South Carolina,221,70,,38.5,21,126,,
