playerId,player,college,category,statType,stat
4430349,Keith Randolph Jr.,Illinois,interceptions,TD,0
4244308,Davion Johnson,Miami (OH),receiving,YDS,1
4570149,R'Tarriun Johnson,Old Dominion,interceptions,AVG,7.5
4687515,EJ Wilson Jr.,Florida International,rushing,YPC,5.7
4567407,Jesiah Pierre,Texas Tech,defensive,QB HUR,0
4370360,Naquan Renalds,Marshall,puntReturns,TD,0
4430271,Ruke Orhorhoro,Clemson,fumbles,LOST,0
4374071,Austin Cook,New Mexico,defensive,TD,0
4426692,Luke Benson,Syracuse,defensive,TFL,0
4567148,Jalen Catalon,Arkansas,interceptions,AVG,41.5
4427636,Nic Jones,Ball State,kickReturns,YDS,24
4426353,Mase Funa,Oregon,defensive,TOT,28
4362476,Hidari Ceasar,TCU,fumbles,LOST,0
4710780,Denzel Lowry,Old Dominion,defensive,SOLO,1
4372605,Issaiah Johnson,Arizona,defensive,PD,0
4360176,Ike Ogbogu,Houston,rushing,YDS,4
4567149,KJ Jefferson,Arkansas,passing,YPA,9.1
4361729,George Georgopoulos,UMass,defensive,TFL,0
4371975,Matthew Hill,South Florida,interceptions,AVG,27
4680029,Keith Jackson,North Texas,rushing,YDS,0
4570497,Jarrin Pierce,Middle Tennessee,receiving,YDS,523
4568500,Hunter Stewart,Virginia,defensive,TD,0
4426796,Travion Brown,Washington State,defensive,SACKS,0
4039256,Sean Mahone,West Virginia,interceptions,INT,2
4692912,Deuce Dunbar,Florida International,defensive,TD,0
4608923,Davion Blackwell,Nevada,defensive,PD,0
4569604,Brandon Joseph,Northwestern,defensive,SOLO,54
4361182,Adrian Martinez,Nebraska,passing,TD,14
4244029,Jarret Doege,West Virginia,passing,PCT,0.652
4048728,Braden Smith,Wyoming,defensive,TOT,31
4569354,Deryl Reynolds,TCU,rushing,CAR,3
4907955,Jacob Drena,Connecticut,passing,YDS,15
4243467,Juwuan Jones,Western Kentucky,defensive,SOLO,21
4363528,Tanner Knue,Eastern Michigan,defensive,SACKS,0
4259559,Latavious Brini,Georgia,defensive,PD,8
4035342,Mike Palmer,Boston College,defensive,TOT,31
4689804,Jimmy Ciarlo,Army,defensive,SACKS,0
4613092,Michael Ike,UTEP,defensive,QB HUR,1
4045701,Timmy Horne,Kansas State,defensive,QB HUR,0
4429023,MarShawn Lloyd,South Carolina,receiving,YDS,44
4428796,Casey Washington,Illinois,receiving,LONG,56
4428612,Aaron Bedgood,Coastal Carolina,puntReturns,AVG,9
4880609,Carlins Platel,South Carolina,defensive,PD,2
4240266,Tre'von Bradley,UT San Antonio,receiving,REC,6
4566165,J.J. Roberts,Wake Forest,defensive,TD,0
4429315,Dezaun Brooks,Eastern Michigan,defensive,TD,0
4056045,Daniel Godfrey,UNLV,defensive,SACKS,0
4895167,Brigden Craig,Nevada,defensive,TFL,0
4241235,OrTre Smith,South Carolina,receiving,TD,0
4712461,O'tay Baker,Hawai'i,defensive,TD,0
4241617,Tyson Williams,Nevada,defensive,TFL,4
4255948,Noah Williams,Stanford,defensive,TD,0
4892327,Andre Proffitt,Akron,defensive,SACKS,0
4426481,Devonta Lee,LSU,receiving,YDS,85
4259723,Alex Spillum,Coastal Carolina,defensive,TD,2
4567402,Keon Zipperer,Florida,defensive,TFL,0
4035406,Thor Rodoni,Baylor,defensive,TFL,0
4263422,Cesar Barajas,Louisiana Tech,rushing,YPC,5
4692807,Glendon Miller,Maryland,defensive,SACKS,0
4608004,Donte Kent,Central Michigan,interceptions,TD,0
4613067,Zion Bowens,Hawai'i,receiving,YPR,21.4
4570276,De'Montre Tuggle,Ohio,rushing,YDS,804
4428753,Lincoln Victor,Washington State,rushing,CAR,4
4430325,Makai Polk,Mississippi State,defensive,SACKS,0
4373335,Habakkuk Baldonado,Pittsburgh,defensive,SOLO,25
4680601,DJ Jackson,Missouri,defensive,TOT,13
4568635,Eric Hicks Jr.,Tulane,defensive,SOLO,7
4259197,Tarique Milton,Iowa State,receiving,YPR,18.5
4259317,Bill Taylor,Rutgers,fumbles,LOST,0
4875079,Marcellas Dial,South Carolina,defensive,SOLO,25
4371846,Tyger Goslin,Navy,rushing,TD,0
4362140,Steven Krajewski,Connecticut,passing,YDS,1217
4565315,Blake Shapen,Baylor,passing,TD,5
-6854, Team,Nevada,fumbles,FUM,3
4571652,Omar Fattah,Air Force,defensive,SOLO,1
4362184,KeSean Carter,Houston,defensive,TD,0
4428657,Wy'Kevious Thomas,South Alabama,defensive,SOLO,21
4430257,Corren Norman,LSU,rushing,LONG,7
4259304,Shameen Jones,Rutgers,rushing,YPC,4.7
4373266,Antoine Green,North Carolina,receiving,YPR,19.7
4683524,Dashawn Jones,Wake Forest,defensive,TOT,1
4372569,Brady Schipper,Wisconsin,defensive,SOLO,1
4429034,Jaquelin Roy,LSU,defensive,SOLO,15
4428248,LaCarea Pleasant-Johnson,Utah,defensive,QB HUR,0
4685724,Will Anderson Jr.,Alabama,defensive,QB HUR,9
4686167,Xavier Arline,Navy,rushing,LONG,40
4879992,Matt Alswanger,Duke,kicking,XPM,0
4244068,Dustin Crum,Kent State,rushing,TD,12
4362620,Kavosiey Smoke,Kentucky,kickReturns,TD,0
4687040,Brendan Hall,SMU,defensive,TD,0
4259638,Hunter Echols,USC,defensive,QB HUR,0
4430288,Eli Pancol,Duke,defensive,TD,0
4430060,Tre'Vez Johnson,Florida,interceptions,TD,0
4687006,Noah Wright,San José State,defensive,SACKS,0
4428718,Tre Tucker,Cincinnati,puntReturns,YDS,-5
4241292,Hardrick Willis,Georgia State,defensive,TOT,19
4362730,Antonio Showers,Troy,fumbles,REC,2
4570149,R'Tarriun Johnson,Old Dominion,interceptions,TD,0
4578654,Jaden Walley,Mississippi State,defensive,TFL,0
4429084,Anthony Richardson,Florida,defensive,PD,0
4428119,Lew Nichols,Central Michigan,receiving,TD,2
4066102,Connor Assalley,Iowa State,kicking,FGA,4
4426470,Genson Hooper Price,Northwestern,receiving,REC,2
3911470,Javon Conner,Ohio,puntReturns,YDS,17
4688539,James Ziglor III,Vanderbilt,receiving,YDS,21
4596334,Keaton Mitchell,East Carolina,kickReturns,LONG,5
4373626,Tyler Allgeier,BYU,receiving,REC,28
4589232,Jalen McCain,Old Dominion,defensive,PD,0
4245196,B.J. Daniels,UT San Antonio,fumbles,FUM,1
4432386,AJ McCarty,Baylor,fumbles,LOST,0
4595354,Gabe Ervin,Nebraska,receiving,REC,2
4431478,Cornell Wheeler,Kansas,defensive,TD,0
4578654,Jaden Walley,Mississippi State,passing,ATT,1
4374149,Cade Hall,San José State,fumbles,LOST,0
4687409,Josh Bertholotte,Hawai'i,defensive,QB HUR,0
4431362,Jeff Roberson,Oklahoma State,defensive,SACKS,0
4426475,Tyrion Davis-Price,LSU,receiving,YDS,64
4362086,B.J. Foster,Texas,defensive,TD,0
4360749,Thomas Booker,Stanford,defensive,TD,0
4602940,Derwin Burgess Jr.,Georgia Southern,kickReturns,AVG,12
4697636,Chau Smith-Wade,Washington State,interceptions,YDS,0
4035693,Velus Jones Jr.,Tennessee,defensive,SACKS,0
4249917,Calvin Turner Jr.,Hawai'i,puntReturns,NO,6
4259240,Savon Scarver,Utah State,rushing,YPC,3.3
4431631,Tyrell Davis,Georgia Southern,defensive,SACKS,0
4872936,Tray Pettway,UMass,receiving,YPR,12.8
4371977,Shaun Shivers,Auburn,kickReturns,LONG,19
4569384,Jacoby Jones,Texas,defensive,PD,0
4429066,Jeff Sims,Georgia Tech,rushing,YDS,372
4429130,Jordan Morant,Michigan,defensive,TFL,0
4038532,Isaiah Graham,Louisiana Tech,receiving,TD,2
4875667,Marion Lukes,Central Michigan,rushing,CAR,22
4605792,Adin Huntington,Kent State,defensive,TOT,34
4568662,Brandon Hill,Pittsburgh,interceptions,INT,2
4683219,Patrick Smith,Vanderbilt,receiving,YPR,5.3
4683536,JJ Henry,Ole Miss,rushing,TD,0
4571021,Shamar Garrett,San José State,defensive,QB HUR,0
4361219,Detravion Green,Arkansas State,defensive,SOLO,12
4428999,Kameron Blount,Maryland,defensive,QB HUR,0
4362280,Dyontae Johnson,Toledo,defensive,TOT,86
4379520,Breon Hayward,UTEP,fumbles,FUM,0
4242333,Faion Hicks,Wisconsin,kickReturns,AVG,0
4241338,Daniel Green,Kansas State,defensive,TFL,16
4383723,Jerreth Sterns,Western Kentucky,defensive,TFL,0
4875224,David Hooks,Akron,defensive,QB HUR,0
4428857,Logan Berryhill,South Florida,defensive,TD,0
4245146,Travell Harris,Washington State,kickReturns,TD,0
4360975,Layton Jordan,Temple,defensive,SOLO,11
4570071,Julius Davis,Wisconsin,fumbles,LOST,1
4432495,Jamal Potts,Florida International,defensive,TD,0
4243921,Will Wallace,Tulane,kickReturns,YDS,0
4428281,J.P. Purvis,Mississippi State,defensive,QB HUR,0
4036661,Randy Wade Jr.,Georgia Southern,defensive,QB HUR,0
4426967,Anthonie Cooper,Arizona State,defensive,QB HUR,1
4258238,Ty Fryfogle,Indiana,receiving,REC,46
4077773,Blake Green,South Florida,defensive,TD,0
4879934,Brett Gerena,Army,defensive,QB HUR,0
4695580,Malcolm Johnson Jr.,Auburn,rushing,TD,0
4427469,Kane Patterson,Clemson,defensive,SACKS,0
4430775,Hayden Wolff,Old Dominion,passing,YPA,7.6
4374045,Teagan Quitoriano,Oregon State,fumbles,FUM,1
4039392,Corey Hightower,New Mexico,defensive,SACKS,0
4361354,Master Teague,Ohio State,receiving,TD,0
4427289,Jayce Godley,Nevada,defensive,TFL,0
4570276,De'Montre Tuggle,Ohio,defensive,SACKS,0
4259269,Chris Reynolds,Charlotte,fumbles,LOST,6
4427716,Jack Kiser,Notre Dame,defensive,TD,2
4043621,Brandon Drayton,Marshall,defensive,TOT,70
